-0.000	0.004	-0.002	0.043	0.004	-0.001
0.001	0.003	0.001	0.031	0.010	-0.023
0.001	0.005	0.001	0.032	0.009	-0.000
-0.001	0.004	-0.006	0.040	0.022	-0.006
0.002	0.002	0.001	0.034	0.014	0.009
0.002	0.005	0.000	0.056	-0.012	-0.023
0.001	0.002	0.000	0.024	0.017	-0.014
0.001	0.003	-0.007	0.040	0.005	-0.010
-0.000	0.005	-0.002	0.050	0.004	-0.010
0.001	0.004	-0.004	0.026	-0.006	-0.019
-0.001	0.003	0.001	0.038	0.010	-0.010
-0.000	0.004	0.000	0.042	0.012	-0.014
-0.001	0.002	-0.004	0.018	0.018	-0.014
0.001	0.001	0.002	0.017	0.002	-0.004
-0.000	0.001	-0.000	0.034	0.023	-0.009
0.002	0.004	0.001	0.055	-0.009	-0.000
0.000	0.006	-0.004	0.057	0.011	0.021
-0.000	0.002	-0.001	0.028	0.008	-0.005
-0.000	0.004	-0.001	0.036	0.008	-0.028
-0.000	0.004	0.000	0.056	0.012	-0.014
-0.000	0.004	-0.005	0.036	0.008	-0.001
0.001	0.002	0.000	0.011	0.017	-0.000
0.002	0.003	0.006	0.048	-0.005	0.000
0.001	0.003	-0.001	0.032	0.002	-0.009
0.001	0.003	0.002	0.045	0.001	0.004
0.001	0.001	-0.002	0.024	-0.002	-0.005
0.000	0.005	0.001	0.029	0.015	0.004
0.002	0.005	-0.001	0.043	-0.005	-0.010
0.001	0.003	0.004	0.038	0.005	-0.009
-0.000	0.005	-0.001	0.043	0.008	-0.010
0.000	0.006	0.000	0.043	0.011	-0.005
0.001	0.003	-0.001	0.039	-0.010	-0.009
-0.000	0.004	-0.002	0.050	-0.008	-0.014
-0.003	0.003	-0.006	0.033	0.035	-0.024
0.001	0.003	0.000	0.031	0.017	0.004
0.002	0.006	-0.001	0.064	-0.005	-0.005
-0.000	0.004	0.000	0.035	0.000	-0.014
0.002	0.002	-0.002	0.035	-0.009	-0.005
0.002	0.002	-0.005	0.042	-0.004	-0.019
0.001	0.005	0.004	0.046	-0.006	-0.014
0.001	0.004	0.000	0.046	0.006	-0.019
-0.000	0.004	0.000	0.035	-0.000	-0.001
-0.000	0.001	-0.000	0.027	0.012	-0.009
-0.001	0.005	0.003	0.053	0.002	-0.001
0.001	0.002	0.001	0.024	-0.014	-0.013
0.001	0.004	0.000	0.053	-0.006	-0.005
-0.000	0.004	-0.002	0.036	-0.008	-0.001
0.001	0.007	0.005	0.066	0.009	-0.009
0.002	0.004	0.003	0.042	-0.016	-0.013
0.001	0.002	0.001	0.031	-0.003	-0.000
0.001	0.004	0.001	0.039	-0.015	0.009
0.001	0.004	0.000	0.053	-0.006	-0.005
-0.000	0.004	-0.002	0.056	0.004	-0.014
0.002	0.002	-0.000	0.042	-0.013	-0.005
-0.001	0.002	-0.001	0.025	0.014	-0.001
-0.000	0.001	0.004	0.020	-0.000	0.005
-0.000	0.002	0.003	0.035	-0.003	-0.018
0.003	0.004	0.003	0.038	-0.011	-0.004
0.002	0.004	0.000	0.042	-0.001	-0.000
0.003	0.003	0.000	0.032	-0.019	-0.009
-0.000	0.004	-0.001	0.056	0.020	-0.014
-0.000	0.004	-0.001	0.049	0.008	-0.014
0.001	0.003	-0.002	0.032	0.010	-0.023
0.002	0.001	-0.001	0.027	0.007	-0.009
-0.002	0.001	0.001	0.014	0.016	0.004
0.003	0.003	0.001	0.018	-0.003	-0.009
-0.000	0.002	0.004	0.041	0.000	-0.018
0.001	0.004	-0.002	0.053	0.009	0.008
0.002	0.002	0.001	0.035	-0.009	-0.005
0.001	0.005	0.001	0.053	-0.002	-0.014
0.001	0.002	-0.001	0.031	0.013	-0.000
0.003	0.002	-0.001	0.024	-0.011	-0.013
-0.000	0.004	0.000	0.042	0.012	-0.014
0.001	0.003	0.001	0.025	-0.002	-0.023
0.001	0.003	0.003	0.025	-0.010	-0.009
0.003	0.005	0.001	0.039	-0.015	-0.000
-0.000	0.005	-0.001	0.043	0.008	-0.010
0.001	0.004	0.000	0.025	0.017	-0.018
0.002	0.001	0.001	0.027	-0.009	0.005
0.002	0.002	0.001	0.035	-0.009	-0.005
-0.001	0.003	-0.001	0.046	0.014	-0.010
0.001	0.003	0.001	0.031	0.009	-0.009
0.002	0.004	0.003	0.048	-0.004	-0.027
0.001	0.002	0.002	0.017	-0.010	0.000
-0.001	0.006	-0.004	0.047	0.006	-0.001
-0.001	0.002	-0.002	0.025	0.022	-0.014
0.002	0.004	0.005	0.041	-0.008	-0.013
-0.000	0.002	-0.001	0.028	0.008	-0.018
0.001	0.004	-0.005	0.026	0.001	-0.005
-0.001	0.004	0.000	0.032	0.018	-0.005
0.001	0.003	0.001	0.025	-0.002	-0.023
0.001	0.002	0.000	0.018	0.006	-0.014
-0.000	0.001	0.004	0.020	-0.000	0.005
0.002	0.004	-0.001	0.029	-0.016	-0.014
-0.002	0.004	-0.001	0.036	0.021	-0.015
0.001	0.004	0.005	0.025	-0.014	-0.004
0.001	0.004	0.002	0.045	-0.011	0.009
0.001	0.007	-0.001	0.040	0.001	0.004
0.002	0.004	0.000	0.035	-0.013	-0.000
-0.000	0.002	-0.002	0.028	0.016	-0.019
0.000	0.005	0.000	0.036	0.012	-0.010
0.001	0.004	-0.001	0.046	0.013	-0.019
-0.000	0.002	0.001	0.035	0.004	-0.018
-0.000	0.002	0.003	0.035	-0.003	-0.018
-0.001	0.004	0.000	0.046	0.018	-0.005
0.002	0.002	-0.006	0.043	-0.020	-0.005
-0.000	0.002	-0.001	0.029	-0.015	-0.005
-0.001	0.003	0.001	0.045	0.022	-0.023
0.002	0.004	-0.001	0.029	-0.016	-0.014
0.001	0.003	-0.001	0.039	-0.011	0.004
-0.000	0.002	-0.001	0.035	-0.004	-0.005
-0.001	0.005	-0.001	0.060	0.014	-0.015
-0.000	0.002	0.003	0.035	-0.003	-0.018
-0.002	0.002	0.002	0.035	0.008	0.008
-0.001	0.006	-0.002	0.061	-0.001	-0.015
0.001	0.003	0.000	0.032	-0.007	0.004
0.001	0.003	0.001	0.038	-0.002	-0.023
0.002	0.002	0.000	0.035	-0.024	-0.018
0.000	0.002	-0.006	0.016	0.015	-0.005
0.002	0.002	0.000	0.035	-0.001	-0.005
0.001	0.005	0.004	0.059	-0.006	-0.014
0.001	0.000	0.001	0.017	0.010	-0.018
0.001	0.002	-0.004	0.025	-0.006	-0.014
0.001	0.003	0.000	0.038	0.005	-0.009
-0.000	0.002	-0.002	0.028	0.016	-0.019
0.002	0.003	0.001	0.035	0.003	-0.014
0.002	0.004	-0.004	0.022	-0.013	-0.001
0.001	0.004	-0.002	0.026	0.009	-0.005
0.002	0.005	0.003	0.042	-0.005	0.004
0.001	0.003	0.000	0.038	0.005	-0.009
0.001	0.003	-0.001	0.025	0.013	-0.009
0.002	0.003	-0.001	0.042	0.007	-0.001
-0.001	0.002	0.000	0.031	0.018	-0.014
0.001	0.003	-0.001	0.032	0.002	-0.009
-0.000	0.005	0.001	0.056	0.016	-0.010
-0.001	0.003	-0.001	0.039	0.002	0.004
-0.001	0.003	0.000	0.038	0.018	-0.010
0.003	0.003	-0.002	0.032	-0.003	-0.023
0.003	0.004	0.001	0.059	-0.015	-0.005
0.001	0.002	-0.001	0.038	0.025	-0.014
0.001	0.003	-0.000	0.038	0.005	0.004
0.003	0.004	0.000	0.039	-0.019	-0.018
0.002	0.002	0.002	0.027	-0.005	0.009
0.001	0.004	-0.004	0.053	-0.006	-0.006
-0.001	0.005	-0.001	0.047	0.015	-0.028
0.002	0.001	0.003	0.020	-0.004	-0.022
0.001	0.002	0.000	0.011	-0.006	-0.013
0.001	0.004	0.004	0.045	0.005	-0.005
-0.000	0.005	-0.005	0.044	0.008	-0.010
0.001	0.004	-0.004	0.053	0.017	-0.006
-0.000	0.002	-0.005	0.022	-0.003	-0.019
0.003	0.003	0.001	0.052	-0.015	0.004
0.002	0.003	-0.002	0.042	0.014	-0.001
-0.000	0.005	0.003	0.049	-0.004	0.004
0.002	0.003	-0.002	0.029	0.015	-0.014
0.001	0.003	0.001	0.025	-0.002	-0.009
-0.001	0.002	-0.001	0.011	0.014	-0.001
0.002	0.004	-0.001	0.042	-0.016	-0.014
0.001	0.005	0.004	0.052	0.005	-0.000
-0.001	0.006	0.000	0.046	0.006	-0.014
-0.000	0.002	-0.002	0.035	0.004	-0.005
-0.000	0.001	0.005	0.027	0.004	-0.009
-0.001	0.003	0.000	0.052	0.018	-0.010
-0.000	0.004	-0.002	0.049	0.016	-0.014
-0.000	0.002	-0.002	0.035	0.004	-0.005
-0.000	0.002	-0.001	0.042	0.008	-0.005
-0.000	0.004	-0.002	0.049	0.016	-0.014
-0.001	0.003	0.002	0.031	0.014	0.004
0.001	0.004	-0.001	0.033	-0.010	-0.005
-0.001	0.005	-0.001	0.053	0.026	-0.015
0.001	0.002	-0.002	0.025	0.010	-0.014
-0.000	0.006	0.005	0.069	0.004	-0.005
-0.000	0.004	0.001	0.042	0.004	-0.001
-0.002	0.005	-0.001	0.043	-0.003	0.003
-0.001	0.002	-0.004	0.018	0.018	-0.014
0.000	0.005	0.000	0.029	0.000	-0.010
-0.001	0.001	-0.000	0.017	0.030	-0.005
0.001	0.003	-0.006	0.026	-0.003	0.004
0.003	0.004	0.000	0.052	-0.019	-0.005
-0.001	0.004	0.001	0.046	0.011	-0.032
0.001	0.004	-0.006	0.040	0.010	-0.019
0.000	0.006	0.000	0.050	0.023	0.008
0.002	0.004	0.000	0.042	-0.001	-0.014
0.001	0.002	0.000	0.011	-0.006	-0.027
0.001	0.003	0.001	0.031	0.009	-0.009
-0.000	0.002	0.004	0.034	-0.012	0.009
0.001	0.002	-0.004	0.025	-0.006	-0.001
0.002	0.002	0.004	0.047	-0.001	0.009
0.001	0.003	0.003	0.031	0.002	-0.009
0.001	0.003	0.002	0.045	0.002	-0.009
-0.000	0.004	-0.007	0.023	-0.000	-0.001
-0.002	0.005	-0.002	0.043	0.028	0.003
-0.000	0.004	0.000	0.035	0.000	-0.014
-0.002	0.004	-0.004	0.043	0.024	-0.015
0.001	0.002	-0.002	0.031	0.021	-0.001
0.001	0.003	0.001	0.045	-0.014	0.004
-0.001	0.002	0.000	0.025	0.007	-0.014
0.002	0.004	0.001	0.028	-0.009	-0.000
0.002	0.004	-0.005	0.036	-0.005	-0.001
-0.000	0.002	-0.001	0.035	0.019	-0.005
0.003	0.002	-0.001	0.018	0.000	0.000
-0.001	0.004	-0.001	0.046	0.002	0.008
-0.000	0.004	0.001	0.035	0.016	-0.014
0.001	0.004	-0.005	0.033	0.013	-0.005
0.000	0.004	-0.001	0.022	0.008	-0.014
0.002	0.002	0.001	0.028	0.003	-0.004
0.001	0.003	-0.001	0.019	-0.022	-0.009
-0.000	0.001	-0.006	0.029	0.004	0.003
0.001	0.005	0.003	0.059	0.001	-0.001
0.001	0.003	-0.005	0.039	0.013	-0.010
-0.000	0.002	-0.005	0.029	0.031	-0.019
0.000	0.005	0.000	0.036	0.012	-0.010
-0.001	0.004	-0.002	0.039	0.022	-0.019
0.001	0.003	-0.001	0.018	0.025	-0.009
0.001	0.003	0.000	0.025	0.005	-0.009
0.002	0.001	-0.001	0.021	-0.005	-0.009
-0.000	0.004	-0.004	0.029	0.012	-0.014
0.001	0.000	-0.003	0.017	0.009	0.009
0.002	0.001	0.000	0.014	-0.001	-0.009
0.002	0.004	0.000	0.035	-0.013	-0.000
0.001	0.007	-0.005	0.061	0.013	-0.010
0.002	0.005	0.000	0.056	0.010	0.004
0.002	0.002	-0.002	0.035	-0.008	-0.018
0.001	0.004	-0.001	0.026	0.001	-0.005
0.001	0.003	-0.004	0.012	0.005	-0.010
0.002	0.004	0.000	0.042	-0.001	-0.014
0.001	0.004	0.001	0.039	0.010	-0.018
-0.001	0.002	-0.002	0.025	0.022	-0.001
0.001	0.001	0.000	0.010	0.005	-0.004
0.004	0.003	0.000	0.042	-0.013	-0.013
0.002	0.005	-0.002	0.029	0.003	-0.023
0.002	0.005	0.001	0.042	0.003	-0.009
0.002	0.003	-0.002	0.049	0.003	-0.014
0.003	0.004	0.001	0.045	-0.016	0.009
-0.000	0.004	0.001	0.042	0.004	-0.014
0.001	0.003	-0.002	0.025	-0.002	-0.010
0.003	0.004	0.000	0.046	-0.007	-0.005
-0.000	0.004	-0.006	0.036	0.016	-0.015
0.001	0.003	0.001	0.031	0.009	0.004
-0.003	0.006	0.001	0.067	0.023	-0.028
-0.000	0.004	-0.001	0.042	0.020	-0.014
0.001	0.004	-0.007	0.047	0.005	-0.006
0.001	0.003	0.001	0.032	-0.014	0.004
0.001	0.004	0.001	0.052	0.010	-0.018
0.001	0.004	0.005	0.045	-0.002	-0.005
0.002	0.002	0.001	0.028	0.002	0.009
0.002	0.005	0.001	0.042	0.002	0.004
-0.001	0.005	0.003	0.046	0.014	-0.001
0.002	0.002	-0.001	0.022	-0.016	-0.005
-0.000	0.005	0.000	0.056	-0.000	0.004
0.001	0.003	-0.004	0.039	0.005	0.004
0.002	0.005	0.003	0.049	-0.016	-0.009
-0.000	0.004	-0.001	0.036	0.008	-0.014
0.001	0.003	-0.000	0.038	0.005	0.004
-0.001	0.005	0.001	0.039	0.010	-0.001
0.001	0.007	-0.002	0.068	-0.014	-0.010
0.001	0.002	-0.002	0.018	-0.002	-0.014
-0.000	0.004	0.000	0.042	0.011	-0.001
0.001	0.003	-0.002	0.025	-0.003	0.004
-0.001	0.004	0.000	0.039	0.006	0.008
-0.000	0.004	0.001	0.028	0.004	-0.014
0.002	0.002	0.004	0.041	-0.013	-0.004
0.001	0.004	-0.002	0.039	0.009	-0.005
-0.000	0.002	-0.002	0.029	-0.008	-0.005
-0.000	0.005	0.003	0.042	0.008	-0.009
0.001	0.002	-0.004	0.018	-0.018	-0.014
0.001	0.005	0.000	0.046	-0.007	-0.001
0.003	0.003	-0.002	0.032	-0.004	0.004
0.000	0.004	0.003	0.035	0.008	-0.000
0.002	0.004	0.001	0.042	-0.009	-0.000
-0.002	0.005	-0.004	0.050	0.001	0.003
0.001	0.003	-0.005	0.039	0.013	0.003
0.000	0.004	-0.002	0.022	0.015	-0.001
-0.001	0.003	-0.001	0.032	0.015	-0.037
0.002	0.002	0.001	0.035	-0.008	-0.018
-0.001	0.002	-0.002	0.025	0.022	-0.001
0.002	0.004	0.001	0.028	-0.009	-0.000
0.000	0.004	0.001	0.035	0.015	-0.001
0.001	0.003	0.001	0.038	-0.003	0.004
0.001	0.004	0.000	0.039	-0.006	-0.005
0.001	0.002	0.002	0.030	0.013	0.013
-0.000	0.002	0.004	0.034	0.012	-0.018
0.001	0.002	0.001	0.024	0.010	-0.014
0.001	0.003	-0.002	0.032	0.009	0.004
-0.000	0.005	-0.005	0.050	0.019	-0.010
0.000	0.005	0.000	0.036	0.012	-0.010
0.000	0.005	0.006	0.035	-0.004	-0.009
0.003	0.004	0.000	0.046	-0.007	-0.005
0.000	0.004	-0.001	0.015	0.019	-0.001
0.001	0.005	-0.001	0.053	0.013	-0.014
0.002	0.005	-0.001	0.049	0.007	-0.010
0.001	0.004	0.000	0.046	0.005	0.008
0.001	0.005	-0.002	0.033	0.009	-0.001
0.001	0.003	-0.001	0.032	0.002	-0.009
-0.001	0.003	0.001	0.031	0.022	-0.010
0.001	0.003	0.004	0.031	-0.007	0.005
0.001	0.003	-0.002	0.018	0.009	0.004
0.001	0.005	0.000	0.046	0.017	-0.001
0.002	0.002	-0.000	0.055	-0.012	-0.018
0.001	0.003	0.000	0.032	-0.007	0.004
0.002	0.005	-0.004	0.050	-0.001	-0.010
0.002	0.002	-0.004	0.028	0.011	-0.005
0.002	0.006	0.001	0.056	-0.008	-0.018
-0.000	0.005	-0.001	0.043	0.008	-0.010
0.002	0.002	-0.002	0.029	-0.020	-0.005
0.001	0.002	-0.001	0.011	0.001	-0.000
-0.000	0.004	-0.001	0.042	-0.004	-0.001
-0.001	0.004	0.000	0.046	0.018	-0.019
0.004	0.005	0.000	0.029	-0.025	-0.009
0.001	0.003	0.001	0.031	0.009	0.004
0.002	0.005	-0.001	0.029	-0.005	0.004
-0.001	0.003	0.002	0.045	0.014	0.004
0.002	0.002	0.000	0.015	-0.013	-0.004
-0.000	0.004	-0.002	0.036	-0.008	-0.014
-0.002	0.005	0.000	0.056	0.012	0.003
0.002	0.002	0.001	0.035	-0.008	-0.018
0.001	0.003	-0.001	0.025	-0.010	-0.009
-0.000	0.004	-0.001	0.042	-0.005	0.013
0.001	0.004	-0.004	0.053	-0.006	-0.006
-0.000	0.004	0.004	0.041	0.011	-0.000
0.001	0.004	-0.001	0.046	0.013	-0.005
0.001	0.005	0.000	0.039	0.005	0.013
-0.002	0.005	0.000	0.049	0.024	0.003
0.001	0.004	-0.002	0.046	-0.003	-0.005
0.001	0.004	-0.002	0.039	0.010	-0.019
0.001	0.002	0.002	0.024	0.001	0.000
0.001	0.004	-0.002	0.019	-0.003	-0.005
0.003	0.000	-0.000	0.024	-0.007	-0.004
0.002	0.002	0.003	0.007	0.007	-0.004
0.002	0.005	-0.002	0.050	-0.009	0.004
-0.000	0.004	-0.004	0.036	0.023	-0.014
0.001	0.007	-0.001	0.060	0.013	-0.010
-0.001	0.005	0.000	0.053	0.018	-0.015
0.002	0.005	-0.002	0.043	0.003	-0.010
0.002	0.004	0.000	0.035	-0.013	-0.000
-0.000	0.002	0.000	0.028	0.000	-0.005
0.001	0.002	0.001	0.011	-0.014	0.000
-0.000	0.004	0.001	0.042	0.004	-0.001
-0.001	0.002	0.000	0.018	0.018	-0.014
0.002	0.005	-0.001	0.036	0.007	-0.009
0.001	0.004	0.000	0.053	-0.006	-0.005
-0.000	0.002	-0.001	0.035	0.020	-0.019
-0.000	0.001	-0.004	0.035	-0.000	0.004
0.001	0.004	-0.002	0.033	-0.003	-0.005
0.000	0.004	0.003	0.035	0.008	-0.000
0.001	0.004	0.001	0.039	-0.014	-0.018
-0.000	0.002	0.002	0.034	-0.004	-0.005
-0.000	0.005	-0.002	0.036	0.004	-0.010
0.001	0.003	-0.004	0.039	-0.018	-0.010
0.002	0.005	0.005	0.055	0.003	-0.009
0.001	0.004	0.000	0.039	0.016	0.008
-0.001	0.004	-0.002	0.053	0.022	-0.006
0.002	0.004	-0.002	0.043	-0.009	-0.014
0.002	0.004	0.000	0.049	-0.012	-0.014
-0.000	0.004	0.000	0.042	0.012	-0.014
-0.001	0.003	-0.005	0.033	0.014	0.003
0.001	0.002	0.001	0.024	0.009	-0.000
0.002	0.004	-0.002	0.056	-0.009	-0.014
0.002	0.003	-0.001	0.029	0.007	-0.000
0.003	0.003	0.002	0.024	-0.023	0.005
-0.000	0.004	-0.002	0.029	0.004	-0.001
0.001	0.004	0.000	0.039	-0.007	0.008
-0.000	0.005	-0.001	0.043	0.008	-0.010
-0.000	0.001	0.000	0.014	0.012	-0.009
-0.002	0.002	0.000	0.028	0.036	-0.005
0.001	0.002	0.004	0.030	0.005	0.014
-0.001	0.004	0.001	0.053	-0.002	-0.005
0.002	0.004	0.000	0.028	-0.001	-0.000
0.002	0.002	-0.005	0.029	-0.005	-0.005
-0.000	0.005	0.000	0.049	0.012	-0.010
0.001	0.005	0.004	0.046	-0.007	-0.000
0.004	0.002	-0.001	0.015	-0.017	-0.018
0.001	0.005	0.001	0.053	-0.003	-0.001
0.001	0.004	0.001	0.032	-0.003	-0.005
-0.001	0.003	0.001	0.025	0.011	-0.023
0.001	0.005	0.004	0.039	0.005	-0.000
0.000	0.005	0.001	0.036	0.003	0.004
0.001	0.005	-0.004	0.047	0.017	-0.015
0.001	0.000	0.001	0.023	0.021	-0.005
0.002	0.005	-0.001	0.043	-0.005	-0.010
-0.001	0.003	0.002	0.031	0.013	0.017
-0.000	0.004	-0.002	0.029	0.004	-0.001
0.001	0.000	0.002	0.010	0.013	-0.004
-0.000	0.004	-0.001	0.042	-0.004	-0.014
-0.001	0.003	-0.001	0.039	0.026	-0.010
0.002	0.004	-0.009	0.030	0.007	-0.015
0.001	0.004	0.005	0.045	-0.003	0.009
0.001	0.003	-0.002	0.039	-0.002	-0.023
0.001	0.003	-0.002	0.032	0.009	0.004
0.001	0.003	0.001	0.038	-0.003	0.004
-0.001	0.004	0.000	0.032	0.017	0.008
0.001	0.005	0.000	0.039	0.005	-0.014
0.002	0.006	0.001	0.050	0.003	-0.005
0.000	0.006	0.000	0.050	0.023	0.008
-0.000	0.004	-0.001	0.036	0.008	-0.001
0.001	0.002	0.001	0.031	-0.003	0.013
0.002	0.002	0.002	0.021	0.007	-0.004
-0.002	0.004	0.002	0.042	0.008	0.013
-0.001	0.005	-0.001	0.047	0.014	-0.001
0.001	0.002	-0.001	0.011	0.001	0.013
0.002	0.002	0.000	0.035	-0.001	-0.005
0.001	0.003	-0.002	0.032	0.009	0.004
0.001	0.002	0.000	0.024	-0.006	-0.000
-0.001	0.003	-0.002	0.026	0.010	-0.010
0.000	0.004	0.003	0.028	0.020	-0.014
0.001	0.003	-0.004	0.026	0.005	0.004
-0.001	0.003	-0.002	0.039	0.010	-0.010
0.001	0.004	-0.002	0.046	-0.003	-0.005
0.001	0.002	0.002	0.031	-0.010	-0.013
0.002	0.002	0.003	0.014	-0.028	-0.004
0.001	0.004	-0.004	0.046	0.005	-0.005
-0.002	0.005	-0.001	0.043	0.019	0.017
-0.000	0.002	-0.000	0.042	0.000	-0.005
-0.001	0.002	-0.001	0.038	0.014	-0.001
-0.000	0.001	-0.000	0.027	0.012	-0.009
-0.000	0.002	-0.004	0.022	-0.012	-0.005
0.002	0.002	0.000	0.015	-0.013	-0.004
-0.001	0.003	0.001	0.031	0.022	-0.023
0.002	0.004	-0.001	0.049	-0.005	-0.001
-0.000	0.002	-0.002	0.029	-0.008	-0.005
0.001	0.003	-0.004	0.039	0.005	0.004
-0.002	0.005	0.000	0.056	0.013	-0.024
0.001	0.001	0.002	0.017	0.001	0.009
-0.000	0.005	-0.001	0.056	0.007	0.003
0.001	0.003	0.000	0.038	0.005	-0.009
0.000	0.004	0.003	0.035	0.008	-0.000
-0.001	0.005	0.003	0.046	0.014	-0.001
0.003	0.002	-0.002	0.038	-0.003	-0.014
0.001	0.003	0.001	0.038	-0.003	0.018
0.002	0.002	0.000	0.028	-0.013	-0.005
0.002	0.002	-0.001	0.028	-0.004	-0.018
-0.000	0.002	-0.000	0.035	0.011	0.008
0.001	0.003	-0.006	0.046	0.009	0.003
-0.000	0.002	0.001	0.035	0.003	0.009
0.001	0.003	-0.001	0.032	0.002	-0.023
0.003	0.002	-0.001	0.024	-0.011	-0.013
0.001	0.003	-0.002	0.046	0.009	0.004
0.001	0.002	-0.000	0.038	0.017	-0.000
0.003	0.003	0.001	0.031	-0.003	-0.009
0.003	0.005	0.001	0.053	-0.015	-0.014
0.001	0.002	-0.006	0.039	0.010	-0.014
0.001	0.003	0.002	0.038	0.013	-0.009
0.001	0.004	-0.001	0.046	0.014	-0.032
-0.000	0.005	-0.001	0.056	0.007	0.003
-0.001	0.003	0.002	0.031	0.014	0.004
0.001	0.002	-0.000	0.024	0.017	-0.000
0.002	0.001	-0.002	0.014	-0.009	-0.009
-0.000	0.002	0.001	0.035	0.004	-0.005
0.002	0.005	0.003	0.042	-0.005	0.004
0.002	0.005	-0.002	0.050	-0.009	-0.010
0.001	0.004	-0.002	0.040	-0.014	-0.005
-0.000	0.005	-0.001	0.043	0.008	-0.010
0.000	0.001	-0.000	0.014	0.011	0.004
-0.000	0.004	-0.000	0.056	0.011	-0.001
0.001	0.004	0.000	0.039	0.017	-0.005
0.002	0.004	-0.002	0.022	0.003	-0.014
