0.000	-0.002	0.001	-0.008	0.003	0.018
0.001	-0.002	0.002	0.002	0.002	0.001
-0.001	-0.001	-0.006	-0.023	0.010	0.004
0.001	-0.003	-0.001	-0.005	0.001	0.009
-0.001	-0.001	-0.001	-0.003	0.014	-0.009
-0.001	-0.001	-0.001	-0.003	0.014	0.004
-0.000	-0.000	-0.004	0.007	0.012	-0.000
-0.001	-0.003	0.001	-0.019	0.022	0.009
-0.002	-0.001	0.001	-0.014	0.016	0.009
0.001	0.001	-0.005	0.011	-0.010	-0.005
0.001	-0.003	0.005	-0.013	-0.003	0.010
-0.001	-0.002	-0.001	-0.011	0.014	-0.000
-0.002	-0.002	-0.004	-0.007	0.024	0.017
-0.000	-0.002	-0.001	-0.014	0.008	0.005
0.000	-0.000	0.001	-0.000	0.016	0.000
-0.000	-0.005	-0.001	-0.029	0.008	-0.004
-0.001	-0.003	-0.001	-0.018	0.014	0.009
-0.002	-0.000	-0.001	0.007	0.032	-0.014
0.003	-0.006	-0.004	-0.026	-0.007	0.001
0.003	-0.003	-0.001	-0.011	-0.023	0.010
-0.001	-0.001	-0.001	-0.003	0.014	0.004
0.002	-0.004	-0.001	-0.015	-0.016	0.001
0.001	0.001	-0.001	0.004	0.001	0.009
0.001	-0.001	-0.000	-0.004	-0.006	0.005
-0.000	0.001	-0.005	0.015	-0.004	-0.010
0.002	-0.000	-0.000	-0.000	-0.013	0.000
0.002	-0.003	-0.004	-0.014	0.011	0.005
0.001	-0.002	0.001	0.009	-0.002	0.000
-0.000	-0.001	-0.000	-0.001	0.011	0.009
-0.001	0.001	-0.002	0.011	0.010	0.008
0.001	0.002	0.001	0.004	-0.003	0.000
0.001	-0.001	-0.007	-0.003	0.017	-0.010
0.003	-0.002	-0.006	-0.010	-0.003	0.000
0.003	-0.002	-0.002	-0.031	-0.015	-0.013
-0.000	-0.001	-0.002	-0.000	0.005	-0.018
-0.002	-0.002	-0.005	-0.007	0.009	0.004
0.000	-0.004	0.001	-0.022	0.015	0.014
-0.000	0.001	0.001	0.020	0.016	-0.009
0.002	-0.001	-0.002	-0.007	0.003	-0.004
0.001	-0.002	-0.005	-0.010	0.002	-0.000
0.000	0.001	0.001	0.000	0.005	-0.022
-0.000	-0.001	-0.001	-0.007	0.008	-0.004
0.001	-0.002	-0.009	-0.023	0.001	-0.000
0.000	-0.000	-0.001	-0.013	0.007	0.013
-0.000	-0.000	0.001	-0.000	0.016	-0.013
0.002	-0.000	-0.003	0.021	-0.009	-0.000
0.001	-0.003	0.001	-0.026	0.021	-0.004
0.002	-0.000	-0.005	0.001	-0.004	-0.014
0.002	-0.003	0.004	-0.009	-0.001	0.019
-0.001	-0.002	-0.004	-0.017	0.018	-0.000
-0.001	0.001	0.002	0.003	0.014	0.009
-0.002	0.000	0.001	0.007	0.017	-0.014
0.003	-0.002	-0.006	0.003	-0.003	-0.000
0.001	-0.002	-0.001	-0.004	0.013	0.000
0.001	-0.002	-0.000	-0.004	0.005	0.000
0.001	-0.001	-0.004	0.004	0.006	-0.009
0.000	-0.002	-0.005	-0.014	0.007	0.018
0.001	-0.003	-0.002	-0.018	0.010	-0.018
0.000	-0.002	-0.000	-0.015	-0.000	0.018
0.002	-0.004	0.001	-0.002	0.015	0.001
0.003	-0.004	-0.003	-0.025	-0.003	-0.008
-0.001	-0.004	-0.003	-0.032	0.011	-0.009
0.001	-0.001	-0.007	-0.003	0.017	-0.010
0.001	-0.003	-0.003	-0.018	0.009	-0.004
0.002	-0.003	-0.000	-0.008	-0.001	0.005
0.001	0.000	-0.006	0.011	0.021	-0.005
0.001	-0.001	-0.000	0.003	0.005	0.005
0.001	-0.003	0.002	-0.019	0.002	-0.004
0.002	-0.004	0.001	-0.022	0.004	-0.013
0.001	-0.003	-0.000	-0.018	-0.006	-0.004
0.001	-0.002	0.000	-0.025	-0.006	-0.013
0.001	-0.002	0.002	-0.005	0.013	0.001
0.002	-0.001	-0.006	-0.006	-0.020	-0.005
0.000	0.001	0.001	0.007	0.015	0.004
0.000	-0.004	0.001	-0.036	0.016	0.001
-0.000	-0.002	-0.005	-0.014	0.008	0.004
-0.000	-0.001	-0.001	-0.000	-0.003	-0.018
0.001	-0.002	-0.001	-0.024	0.002	0.000
-0.001	-0.001	0.004	-0.004	0.006	0.018
-0.001	-0.002	-0.005	-0.017	0.026	-0.000
-0.000	0.000	-0.000	0.007	-0.012	-0.000
-0.001	-0.002	-0.002	-0.010	-0.001	-0.000
-0.002	-0.001	-0.000	-0.007	0.036	0.009
-0.001	-0.001	-0.000	-0.004	0.006	0.004
0.002	-0.000	0.001	-0.014	0.003	0.001
-0.002	-0.002	-0.005	-0.014	0.020	0.004
-0.001	-0.003	0.001	-0.025	0.011	-0.004
0.000	-0.001	0.001	-0.014	0.004	-0.004
0.000	-0.002	0.004	-0.022	0.012	0.005
-0.002	-0.001	0.000	-0.014	0.024	-0.005
-0.001	-0.002	-0.000	-0.011	0.006	0.000
-0.002	-0.002	-0.001	-0.014	0.021	-0.009
-0.002	-0.001	-0.006	-0.013	0.040	-0.005
-0.001	-0.001	-0.001	0.010	0.014	0.004
-0.001	-0.003	-0.003	-0.025	0.010	0.009
-0.001	-0.002	-0.003	-0.004	0.010	-0.000
-0.000	-0.004	-0.004	-0.028	0.012	0.000
-0.001	-0.002	-0.006	-0.010	-0.001	-0.014
0.000	-0.004	0.005	-0.030	0.004	0.001
-0.002	-0.002	0.001	-0.001	0.005	-0.009
-0.001	-0.003	-0.002	-0.011	-0.012	-0.018
-0.002	0.000	-0.001	0.007	0.009	-0.001
-0.001	-0.004	-0.005	-0.031	0.003	-0.009
-0.001	-0.001	0.001	-0.004	0.022	0.004
-0.001	-0.003	-0.000	-0.011	-0.005	-0.004
-0.003	-0.002	-0.003	-0.004	0.023	-0.001
-0.002	-0.004	0.001	-0.022	0.028	0.014
0.001	-0.002	-0.001	0.010	-0.010	-0.013
0.000	-0.002	-0.000	-0.015	-0.000	0.018
0.001	-0.003	-0.001	-0.018	0.001	0.009
-0.001	-0.001	0.004	-0.004	0.007	-0.009
-0.001	-0.002	0.004	-0.025	0.029	0.014
0.001	-0.004	-0.003	-0.005	-0.002	0.005
-0.001	-0.001	0.006	0.009	0.014	0.005
0.002	-0.003	-0.000	-0.001	-0.012	-0.008
-0.001	-0.003	-0.005	-0.011	0.003	-0.005
-0.001	-0.004	-0.003	-0.011	-0.001	0.004
-0.000	-0.001	-0.000	-0.007	0.000	-0.004
0.001	-0.003	-0.001	-0.025	-0.010	0.009
-0.000	-0.001	-0.005	0.007	0.008	-0.005
0.001	-0.002	-0.001	-0.004	-0.010	-0.013
-0.000	-0.002	0.002	-0.002	0.008	0.005
-0.001	-0.004	-0.005	-0.011	0.015	-0.009
-0.001	-0.002	0.001	-0.004	0.010	0.000
-0.001	-0.001	-0.002	-0.010	0.011	-0.009
-0.000	-0.001	-0.009	-0.006	0.008	-0.005
0.002	-0.004	-0.000	-0.015	-0.001	0.014
0.002	-0.003	-0.000	-0.001	-0.013	0.005
-0.001	-0.003	-0.000	-0.012	0.018	-0.004
-0.002	-0.001	-0.003	0.007	0.028	-0.005
0.001	-0.003	-0.006	-0.010	-0.002	-0.018
-0.000	-0.002	-0.004	-0.007	0.012	0.004
-0.000	-0.002	-0.001	0.006	-0.003	-0.009
0.000	-0.002	0.001	-0.008	0.003	0.018
0.002	-0.003	0.001	-0.002	0.003	0.005
-0.000	-0.001	-0.004	-0.000	0.011	0.009
0.001	-0.003	-0.004	-0.004	-0.006	-0.004
0.002	-0.004	-0.003	-0.022	-0.020	0.001
-0.000	-0.002	-0.000	-0.001	-0.000	0.005
