0.002	0.001	0.001	0.000	-0.009	-0.009
-0.000	0.001	0.006	0.013	-0.004	-0.009
0.002	0.002	0.005	0.013	0.002	0.009
0.000	0.005	0.001	0.029	-0.008	0.004
0.000	0.002	0.001	-0.006	0.004	-0.004
0.003	0.003	0.003	0.011	-0.023	0.005
-0.001	0.001	-0.001	-0.010	0.015	-0.018
0.001	0.004	0.006	0.011	0.002	-0.018
-0.002	0.004	0.000	0.022	0.013	-0.014
-0.000	0.002	0.000	0.028	0.000	-0.018
0.001	0.002	0.000	0.024	0.017	-0.014
0.002	0.001	-0.000	0.027	-0.001	-0.009
-0.001	0.001	0.001	0.010	0.011	-0.018
-0.002	0.001	-0.001	0.008	0.021	-0.010
-0.001	0.003	0.001	0.025	0.011	-0.023
0.001	0.002	0.002	0.010	0.001	0.000
0.000	0.004	0.003	0.008	0.008	-0.000
0.001	0.002	0.000	-0.003	-0.006	-0.013
0.000	0.004	-0.002	0.022	0.016	-0.014
0.002	0.001	0.003	-0.007	-0.004	-0.022
0.000	-0.000	0.002	-0.001	0.008	0.000
0.001	0.003	-0.001	-0.002	-0.010	-0.009
0.000	0.001	0.000	0.000	0.012	-0.022
-0.000	0.005	-0.005	0.037	0.020	-0.024
0.000	0.004	0.003	0.008	0.008	-0.014
0.001	0.002	0.003	-0.003	0.001	0.000
0.000	0.002	0.001	0.014	0.016	-0.005
0.002	0.002	0.004	0.027	0.011	-0.018
0.000	0.002	0.003	0.014	0.008	-0.005
-0.001	0.005	0.004	0.039	0.018	-0.001
0.002	0.003	0.004	0.021	0.011	-0.013
-0.000	0.004	0.000	0.029	0.012	-0.014
0.001	0.004	0.003	0.025	0.002	-0.018
0.003	0.001	-0.002	-0.003	-0.015	-0.004
0.003	0.003	0.000	0.018	0.004	0.005
0.002	0.002	0.000	0.008	-0.001	-0.004
0.001	0.003	-0.001	0.012	0.014	-0.023
0.000	0.001	0.001	0.007	0.016	-0.009
0.002	0.004	0.000	0.022	-0.012	-0.014
0.001	0.003	0.001	0.011	-0.003	0.004
0.002	0.002	0.004	0.007	-0.001	-0.017
0.002	0.005	-0.002	0.036	0.014	0.004
0.003	0.002	0.003	0.017	0.001	-0.026
0.000	0.002	0.001	0.014	0.016	-0.005
0.001	0.002	-0.004	0.018	0.006	-0.014
0.003	0.002	0.003	-0.003	-0.011	-0.013
0.001	0.002	-0.005	0.018	0.013	-0.014
0.002	0.002	0.004	0.000	-0.013	-0.004
0.001	0.004	0.000	0.019	0.005	-0.005
0.002	0.001	0.003	-0.000	0.007	-0.008
0.001	0.003	0.000	0.018	-0.006	-0.009
0.003	0.002	-0.002	0.011	-0.003	-0.013
0.001	0.004	0.003	0.025	0.002	-0.018
0.003	0.000	0.000	-0.003	-0.007	-0.017
0.003	0.003	-0.004	0.012	-0.007	-0.009
0.002	0.002	0.005	0.013	0.003	-0.004
0.000	-0.000	0.000	-0.000	0.024	-0.013
0.001	0.003	0.001	0.004	0.009	-0.009
0.000	-0.000	-0.002	0.000	0.015	-0.000
0.002	0.002	-0.001	-0.006	0.007	-0.004
0.001	0.002	0.003	0.004	0.013	-0.013
0.002	0.002	0.000	0.008	-0.001	-0.018
0.002	-0.000	0.001	-0.007	0.014	0.000
0.001	0.004	0.000	0.032	0.005	-0.005
-0.000	0.002	0.000	0.021	0.012	-0.018
-0.000	0.004	-0.001	0.036	0.008	-0.014
-0.001	0.002	-0.001	0.018	0.002	-0.001
0.000	0.002	0.004	0.014	0.000	-0.018
0.004	0.001	0.003	-0.007	-0.017	-0.008
0.001	0.002	-0.005	0.012	0.002	-0.014
0.001	0.003	0.003	0.011	-0.010	-0.009
0.003	0.003	0.001	0.018	-0.027	-0.009
0.002	0.003	-0.001	0.008	0.019	-0.014
0.002	0.001	0.004	0.013	-0.001	-0.008
0.002	-0.000	-0.001	0.000	-0.005	0.000
0.001	0.003	0.004	0.011	0.006	-0.022
0.003	0.003	0.001	0.018	-0.004	0.005
0.002	-0.000	0.001	-0.007	-0.009	0.001
0.002	0.001	0.001	0.000	-0.009	-0.009
0.001	0.003	-0.005	0.019	0.001	0.004
0.000	0.002	-0.002	0.008	0.004	-0.018
-0.001	-0.000	0.001	-0.031	-0.001	-0.009
0.001	0.003	0.003	0.018	0.002	-0.022
0.001	0.002	0.001	0.017	-0.002	-0.013
0.001	0.003	0.003	0.011	0.013	-0.009
0.000	0.002	0.003	0.007	0.019	-0.005
0.000	0.004	0.006	0.007	0.008	0.000
-0.003	0.002	-0.001	0.011	0.027	-0.014
0.000	0.004	0.005	0.014	0.005	-0.027
-0.000	0.001	0.002	0.020	0.008	-0.009
-0.002	0.002	0.001	0.014	0.029	-0.018
-0.000	-0.001	0.001	-0.001	0.004	-0.004
0.001	0.002	-0.002	-0.002	0.009	-0.000
0.000	0.002	0.000	0.008	0.012	-0.005
-0.001	0.001	0.004	0.003	0.006	-0.004
-0.000	0.004	0.003	0.028	-0.004	-0.014
0.000	0.001	0.003	-0.007	0.008	-0.022
-0.001	0.004	-0.002	0.019	0.011	-0.019
-0.000	0.001	0.004	0.013	0.012	-0.009
0.002	-0.000	0.001	-0.000	-0.020	-0.013
0.001	0.003	0.001	0.018	0.009	-0.009
0.003	0.000	0.002	0.003	-0.011	-0.004
0.002	0.004	0.001	0.021	0.003	-0.000
0.000	0.002	0.003	0.007	-0.003	-0.018
0.002	0.002	0.001	0.008	-0.008	-0.018
0.001	0.003	0.005	0.011	-0.002	-0.009
0.000	0.002	0.003	0.014	0.008	-0.018
-0.000	0.001	-0.005	0.008	0.008	-0.010
0.001	0.001	0.004	-0.004	0.005	0.009
-0.000	0.001	0.001	0.014	0.004	-0.009
-0.001	0.001	0.000	-0.003	0.018	-0.018
-0.000	0.002	-0.001	0.015	0.008	-0.018
-0.001	0.001	-0.000	0.017	0.006	0.009
-0.001	0.002	0.000	0.011	0.007	-0.014
0.001	0.001	0.002	0.003	0.001	0.009
0.001	0.002	-0.004	0.018	0.006	-0.027
0.001	0.002	0.003	0.017	-0.009	-0.027
0.001	-0.001	0.000	-0.004	-0.006	-0.009
0.001	0.003	0.004	0.018	-0.006	-0.009
0.001	0.001	-0.000	0.004	-0.007	0.009
0.001	0.001	-0.001	-0.017	0.013	-0.004
-0.002	0.001	-0.001	0.028	0.009	-0.023
0.000	0.001	0.003	-0.007	0.008	-0.009
0.001	0.004	0.000	0.026	-0.006	-0.018
0.002	0.001	0.001	0.007	-0.020	-0.009
-0.001	0.002	0.005	0.010	0.021	0.013
-0.001	0.005	0.000	0.040	0.018	-0.014
-0.000	0.001	-0.001	0.007	0.008	-0.023
0.002	0.001	0.002	0.014	-0.017	0.005
0.001	0.002	0.003	-0.003	0.002	-0.013
0.000	0.001	-0.002	0.008	0.015	0.004
0.001	0.004	-0.001	0.026	0.002	-0.018
0.001	0.001	-0.001	-0.003	0.013	-0.005
0.000	0.002	0.002	0.014	0.007	0.009
